#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	1.0064412238325282E-4
21.0	2.0128824476650564E-4
22.0	5.03220611916264E-4
23.0	0.001610305958132045
24.0	4.0257648953301127E-4
25.0	0.002818035426731079
26.0	0.0018115942028985505
27.0	0.008152173913043478
28.0	0.011171497584541062
29.0	0.016807568438003222
30.0	0.017210144927536232
31.0	0.014694041867954909
32.0	0.025664251207729468
33.0	0.03522544283413848
34.0	0.03824476650563607
35.0	0.05585748792270531
36.0	0.04367954911433172
37.0	0.045994363929146534
38.0	0.04589371980676329
39.0	0.04267310789049919
40.0	0.030998389694041867
41.0	0.03713768115942029
42.0	0.038144122383252814
43.0	0.020430756843800323
44.0	0.02747584541062802
45.0	0.0426731078904992
46.0	0.030595813204508857
47.0	0.0304951690821256
48.0	0.027677133655394523
49.0	0.02546296296296296
50.0	0.020229468599033813
51.0	0.021336553945249595
52.0	0.015599838969404185
53.0	0.016304347826086956
54.0	0.029589371980676325
55.0	0.022443639291465374
56.0	0.008152173913043476
57.0	0.016908212560386472
58.0	0.026570048309178744
59.0	0.017914653784219
60.0	0.010466988727858293
61.0	0.005938003220611916
62.0	0.010265700483091788
63.0	0.01861916264090177
64.0	0.008454106280193236
65.0	0.00644122383252818
66.0	0.00322061191626409
67.0	0.002113526570048309
68.0	0.009863123993558775
69.0	0.0036231884057971015
70.0	0.0013083735909822866
71.0	7.045088566827697E-4
72.0	7.045088566827697E-4
73.0	8.051529790660225E-4
74.0	4.0257648953301127E-4
75.0	0.0012077294685990338
76.0	4.0257648953301127E-4
77.0	2.0128824476650564E-4
78.0	2.0128824476650564E-4
79.0	2.0128824476650564E-4
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
