#Coverage (X)	Coverage
1.0	89.17251975417032
2.0	88.17493415276559
3.0	86.61325724319579
4.0	86.24231782265144
5.0	84.68173836698858
6.0	83.92010535557506
7.0	82.40452151009657
8.0	81.85908691834943
9.0	80.10755048287972
10.0	79.5478489903424
11.0	78.3834503950834
12.0	77.66900790166812
13.0	76.49473222124671
14.0	75.64310798946444
15.0	73.94205443371379
16.0	73.48551360842845
17.0	72.3529411764706
18.0	72.13564530289727
19.0	71.45961369622476
20.0	71.09855136084285
21.0	70.26997366110623
22.0	69.6422300263389
23.0	67.94885864793679
24.0	67.51755926251099
25.0	65.90978928884988
26.0	65.23266022827042
27.0	64.39201053555752
28.0	64.05948200175592
29.0	62.34306409130817
30.0	61.883230904302025
31.0	60.940517998244076
32.0	60.78797190517999
33.0	59.972563652326606
34.0	59.61369622475856
35.0	59.10886742756804
36.0	58.46685689201054
37.0	57.68107989464443
38.0	57.45829675153644
39.0	56.77238805970149
40.0	55.775899912203684
41.0	54.648814749780506
42.0	54.288849868305526
43.0	53.500877963125546
44.0	53.17054433713784
45.0	52.55377524143986
46.0	52.10601404741001
47.0	51.545215100965756
48.0	50.83406496927129
49.0	49.553336259877085
50.0	49.29323968393327
51.0	48.57221246707638
