#Read position (bp)	Clipping profile
0.0	2.1825773391535392
1.0	2.1825773391535392
2.0	1.5562725374833934
3.0	1.176693869804517
4.0	1.1007781362687419
5.0	1.0248624027329665
6.0	1.0058834693490226
7.0	0.9109888024293035
8.0	0.8730309356614159
9.0	0.8730309356614159
10.0	0.8160941355095843
11.0	0.7971152021256405
12.0	0.7971152021256405
13.0	0.7781362687416967
14.0	0.7591573353577529
15.0	0.7591573353577529
16.0	0.7591573353577529
17.0	0.7591573353577529
18.0	0.7591573353577529
19.0	0.7591573353577529
20.0	0.6642626684380337
21.0	0.6642626684380337
22.0	0.6642626684380337
23.0	0.64528373505409
24.0	0.5883469349022585
25.0	0.5503890681343709
26.0	0.531410134750427
27.0	0.531410134750427
28.0	0.5124312013664832
29.0	0.5124312013664832
30.0	0.4934522679825394
31.0	0.4934522679825394
32.0	0.4934522679825394
33.0	0.47447333459859553
34.0	0.47447333459859553
35.0	1.8599354716264944
36.0	0.47447333459859553
37.0	0.47447333459859553
38.0	0.45549440121465173
39.0	0.45549440121465173
40.0	0.45549440121465173
41.0	0.39855760106282023
42.0	0.39855760106282023
43.0	0.37957866767887644
44.0	0.37957866767887644
45.0	0.37957866767887644
46.0	0.36059973429493264
47.0	0.34162080091098884
48.0	0.34162080091098884
49.0	0.30366293414310114
50.0	0.322641867527045
51.0	0.30366293414310114
52.0	0.322641867527045
53.0	0.30366293414310114
54.0	0.30366293414310114
55.0	0.30366293414310114
56.0	0.30366293414310114
57.0	0.30366293414310114
58.0	0.30366293414310114
59.0	0.30366293414310114
60.0	0.28468400075915734
61.0	0.28468400075915734
62.0	0.28468400075915734
63.0	0.28468400075915734
64.0	0.28468400075915734
65.0	0.28468400075915734
66.0	0.28468400075915734
67.0	0.28468400075915734
68.0	0.28468400075915734
69.0	0.28468400075915734
70.0	0.28468400075915734
71.0	0.30366293414310114
72.0	0.30366293414310114
73.0	0.2657050673752135
74.0	0.2467261339912697
75.0	0.2467261339912697
76.0	0.2467261339912697
77.0	0.2467261339912697
78.0	0.2467261339912697
79.0	0.2467261339912697
80.0	0.2467261339912697
81.0	0.22774720060732587
82.0	0.20876826722338201
83.0	0.20876826722338201
84.0	0.20876826722338201
85.0	0.20876826722338201
86.0	0.20876826722338201
87.0	0.20876826722338201
88.0	0.20876826722338201
89.0	0.20876826722338201
90.0	0.20876826722338201
91.0	0.20876826722338201
92.0	0.20876826722338201
93.0	0.20876826722338201
94.0	0.13285253368760674
95.0	0.13285253368760674
96.0	0.18978933383943822
97.0	0.18978933383943822
98.0	0.18978933383943822
99.0	0.20876826722338201
100.0	0.20876826722338201
101.0	0.20876826722338201
102.0	0.20876826722338201
103.0	0.20876826722338201
104.0	0.20876826722338201
105.0	0.20876826722338201
106.0	0.22774720060732587
107.0	0.22774720060732587
108.0	0.22774720060732587
109.0	0.22774720060732587
110.0	0.22774720060732587
111.0	0.22774720060732587
112.0	0.22774720060732587
113.0	0.22774720060732587
114.0	0.22774720060732587
115.0	0.2467261339912697
116.0	0.2467261339912697
117.0	0.34162080091098884
118.0	0.43651546783070794
119.0	0.45549440121465173
120.0	0.45549440121465173
121.0	0.45549440121465173
122.0	0.43651546783070794
123.0	0.43651546783070794
124.0	0.43651546783070794
125.0	0.43651546783070794
126.0	0.45549440121465173
127.0	0.45549440121465173
128.0	0.45549440121465173
129.0	0.45549440121465173
130.0	0.45549440121465173
131.0	0.43651546783070794
132.0	0.43651546783070794
133.0	0.43651546783070794
134.0	0.43651546783070794
135.0	0.34162080091098884
136.0	0.2467261339912697
137.0	0.20876826722338201
138.0	0.2467261339912697
139.0	0.20876826722338201
140.0	0.18978933383943822
141.0	0.17081040045549442
142.0	0.17081040045549442
143.0	0.15183146707155057
144.0	0.15183146707155057
145.0	0.13285253368760674
146.0	0.13285253368760674
147.0	0.13285253368760674
148.0	0.13285253368760674
149.0	0.11387360030366293
150.0	0.11387360030366293
151.0	0.11387360030366293
152.0	0.11387360030366293
153.0	0.11387360030366293
154.0	0.09489466691971911
155.0	0.09489466691971911
156.0	0.09489466691971911
157.0	0.09489466691971911
158.0	0.09489466691971911
159.0	0.09489466691971911
160.0	0.34162080091098884
161.0	0.34162080091098884
162.0	0.34162080091098884
163.0	0.18978933383943822
164.0	0.18978933383943822
165.0	0.09489466691971911
166.0	0.09489466691971911
167.0	0.09489466691971911
168.0	0.11387360030366293
169.0	0.11387360030366293
170.0	0.11387360030366293
171.0	0.11387360030366293
172.0	0.11387360030366293
173.0	0.09489466691971911
174.0	0.07591573353577528
175.0	0.322641867527045
176.0	0.322641867527045
177.0	0.322641867527045
178.0	0.30366293414310114
179.0	0.22774720060732587
180.0	0.18978933383943822
181.0	0.18978933383943822
182.0	0.18978933383943822
183.0	0.18978933383943822
184.0	0.18978933383943822
185.0	0.18978933383943822
186.0	0.20876826722338201
187.0	0.20876826722338201
188.0	0.20876826722338201
189.0	0.22774720060732587
190.0	0.20876826722338201
191.0	0.09489466691971911
192.0	0.09489466691971911
193.0	0.09489466691971911
194.0	0.07591573353577528
195.0	0.09489466691971911
196.0	0.09489466691971911
197.0	0.09489466691971911
198.0	0.09489466691971911
199.0	0.09489466691971911
200.0	0.07591573353577528
201.0	0.07591573353577528
202.0	0.07591573353577528
203.0	0.07591573353577528
204.0	0.07591573353577528
205.0	0.09489466691971911
206.0	0.09489466691971911
207.0	0.13285253368760674
208.0	0.13285253368760674
209.0	0.15183146707155057
210.0	0.13285253368760674
211.0	0.13285253368760674
212.0	0.11387360030366293
213.0	0.13285253368760674
